state,week,days,week_id,positiveIncrease,totalTestResultsIncrease,deathIncrease,hospitalizedCurrently,Party,population,lockdown_days,state_full,region,positive_rate,death_rate,hosp_rate,lockdown_class
AK,2020-03-15,7,11,13,628,0,NA,Republican,738516,30,Alaska,West,2.1,0,NA,3.Short
AK,2020-03-22,7,12,71,2149,2,NA,Republican,738516,30,Alaska,West,3.3,2.7081,NA,3.Short
AK,2020-03-29,7,13,86,3119,3,NA,Republican,738516,30,Alaska,West,2.8,4.0622,NA,3.Short
AK,2020-04-05,7,14,86,1692,3,NA,Republican,738516,30,Alaska,West,5.1,4.0622,NA,3.Short
AK,2020-04-12,7,15,57,1923,1,39,Republican,738516,30,Alaska,West,3,1.3541,52.8086,3.Short
AK,2020-04-19,7,16,25,6077,0,39.142857142857146,Republican,738516,30,Alaska,West,0.4,0,53.002,3.Short
AK,2020-04-26,7,17,26,5667,0,15.428571428571429,Republican,738516,30,Alaska,West,0.5,0,20.8913,3.Short
AK,2020-05-03,7,18,13,5050,1,11.571428571428571,Republican,738516,30,Alaska,West,0.3,1.3541,15.6685,3.Short
AK,2020-05-10,7,19,14,6832,0,9.571428571428571,Republican,738516,30,Alaska,West,0.2,0,12.9604,3.Short
AK,2020-05-17,7,20,16,9070,0,14,Republican,738516,30,Alaska,West,0.2,0,18.9569,3.Short
AK,2020-05-24,7,21,26,9344,0,12,Republican,738516,30,Alaska,West,0.3,0,16.2488,3.Short
AK,2020-05-31,7,22,102,12206,0,10.428571428571429,Republican,738516,30,Alaska,West,0.8,0,14.121,3.Short
AK,2020-06-07,7,23,118,7902,2,13.285714285714286,Republican,738516,30,Alaska,West,1.5,2.7081,17.9897,3.Short
AK,2020-06-14,7,24,89,15115,0,18.428571428571427,Republican,738516,30,Alaska,West,0.6,0,24.9535,3.Short
AK,2020-06-21,7,25,111,18663,2,13.571428571428571,Republican,738516,30,Alaska,West,0.6,2.7081,18.3766,3.Short
AK,2020-06-28,7,26,257,17151,2,18.857142857142858,Republican,738516,30,Alaska,West,1.5,2.7081,25.5338,3.Short
AK,2020-07-05,7,27,274,20644,1,26,Republican,738516,30,Alaska,West,1.3,1.3541,35.2057,3.Short
AK,2020-07-12,7,28,774,24987,1,28,Republican,738516,30,Alaska,West,3.1,1.3541,37.9139,3.Short
AK,2020-07-19,7,29,709,36703,2,33.285714285714285,Republican,738516,30,Alaska,West,1.9,2.7081,45.0711,3.Short
AK,2020-07-26,7,30,959,33567,4,41.714285714285715,Republican,738516,30,Alaska,West,2.9,5.4163,56.4839,3.Short
AL,2020-03-15,7,11,118,124,0,NA,Republican,4864680,26,Alabama,South,95.2,0,NA,3.Short
AL,2020-03-22,7,12,572,4728,3,103.4,Republican,4864680,26,Alabama,South,12.1,0.6167,21.2553,3.Short
AL,2020-03-29,7,13,884,5973,40,206.57142857142858,Republican,4864680,26,Alabama,South,14.8,8.2225,42.4635,3.Short
AL,2020-04-05,7,14,1611,10396,48,315.14285714285717,Republican,4864680,26,Alabama,South,15.5,9.867,64.7818,3.Short
AL,2020-04-12,7,15,1464,21289,55,362.14285714285717,Republican,4864680,26,Alabama,South,6.9,11.306,74.4433,3.Short
AL,2020-04-19,7,16,1482,28806,66,397.7142857142857,Republican,4864680,26,Alabama,South,5.1,13.5672,81.7555,3.Short
AL,2020-04-26,7,17,1297,20865,76,461.7142857142857,Republican,4864680,26,Alabama,South,6.2,15.6228,94.9115,3.Short
AL,2020-05-03,7,18,2133,33285,100,481.57142857142856,Republican,4864680,26,Alabama,South,6.4,20.5563,98.9934,3.Short
AL,2020-05-10,7,19,1956,28000,97,488.2857142857143,Republican,4864680,26,Alabama,South,7,19.9396,100.3737,3.Short
AL,2020-05-17,7,20,2415,29182,61,523.2857142857143,Republican,4864680,26,Alabama,South,8.3,12.5394,107.5684,3.Short
AL,2020-05-24,7,21,3421,29525,72,531.2857142857143,Republican,4864680,26,Alabama,South,11.6,14.8006,109.2129,3.Short
AL,2020-05-31,7,22,2684,33443,71,570.7142857142857,Republican,4864680,26,Alabama,South,8,14.595,117.318,3.Short
AL,2020-06-07,7,23,4558,47608,84,602.7142857142857,Republican,4864680,26,Alabama,South,9.6,17.2673,123.896,3.Short
AL,2020-06-14,7,24,4948,46271,65,649.1428571428571,Republican,4864680,26,Alabama,South,10.7,13.3616,133.44,3.Short
AL,2020-06-21,7,25,5534,44503,81,667,Republican,4864680,26,Alabama,South,12.4,16.6506,137.1108,3.Short
AL,2020-06-28,7,26,7779,58062,88,779.8571428571429,Republican,4864680,26,Alabama,South,13.4,18.0896,160.3101,3.Short
AL,2020-07-05,7,27,9085,59932,107,1081,Republican,4864680,26,Alabama,South,15.2,21.9953,222.214,3.Short
AL,2020-07-12,7,28,13287,72475,172,1354.7142857142858,Republican,4864680,26,Alabama,South,18.3,35.3569,278.4796,3.Short
AL,2020-07-19,7,29,12896,67116,170,1533,Republican,4864680,26,Alabama,South,19.2,34.9458,315.1286,3.Short
AL,2020-07-26,7,30,11219,55760,147,1568.4285714285713,Republican,4864680,26,Alabama,South,20.1,30.2178,322.4115,3.Short
AR,2020-03-15,7,11,106,608,0,NA,Republican,2990671,0,Arkansas,South,17.4,0,NA,4.None
AR,2020-03-22,7,12,286,2657,5,29.571428571428573,Republican,2990671,0,Arkansas,South,10.8,1.6719,9.8879,4.None
AR,2020-03-29,7,13,339,7028,9,62,Republican,2990671,0,Arkansas,South,4.8,3.0094,20.7311,4.None
AR,2020-04-05,7,14,483,8208,10,76.57142857142857,Republican,2990671,0,Arkansas,South,5.9,3.3437,25.6034,4.None
AR,2020-04-12,7,15,513,5563,14,80.85714285714286,Republican,2990671,0,Arkansas,South,9.2,4.6812,27.0365,4.None
AR,2020-04-19,7,16,1090,13912,9,95.71428571428571,Republican,2990671,0,Arkansas,South,7.8,3.0094,32.0043,4.None
AR,2020-04-26,7,17,543,13529,26,99.28571428571429,Republican,2990671,0,Arkansas,South,4,8.6937,33.1985,4.None
AR,2020-05-03,7,18,375,13946,15,78.85714285714286,Republican,2990671,0,Arkansas,South,2.7,5.0156,26.3677,4.None
AR,2020-05-10,7,19,831,16116,10,62.42857142857143,Republican,2990671,0,Arkansas,South,5.2,3.3437,20.8744,4.None
AR,2020-05-17,7,20,1034,21403,15,77.57142857142857,Republican,2990671,0,Arkansas,South,4.8,5.0156,25.9378,4.None
AR,2020-05-24,7,21,1401,23450,20,100.71428571428571,Republican,2990671,0,Arkansas,South,6,6.6875,33.6762,4.None
AR,2020-05-31,7,22,2088,30260,21,131.71428571428572,Republican,2990671,0,Arkansas,South,6.9,7.0218,44.0417,4.None
AR,2020-06-07,7,23,2446,30260,22,180.42857142857142,Republican,2990671,0,Arkansas,South,8.1,7.3562,60.3305,4.None
AR,2020-06-14,7,24,3595,55217,48,216.42857142857142,Republican,2990671,0,Arkansas,South,6.5,16.0499,72.3679,4.None
AR,2020-06-21,7,25,3598,41731,25,263.42857142857144,Republican,2990671,0,Arkansas,South,8.6,8.3593,88.0834,4.None
AR,2020-06-28,7,26,4469,54928,37,283.57142857142856,Republican,2990671,0,Arkansas,South,8.1,12.3718,94.8187,4.None
AR,2020-07-05,7,27,3594,30756,27,363.85714285714283,Republican,2990671,0,Arkansas,South,11.7,9.0281,121.664,4.None
AR,2020-07-12,7,28,4959,43356,40,450.2857142857143,Republican,2990671,0,Arkansas,South,11.4,13.3749,150.5634,4.None
AR,2020-07-19,7,29,5487,48459,41,480,Republican,2990671,0,Arkansas,South,11.3,13.7093,160.4991,4.None
AR,2020-07-26,7,30,5924,53117,66,499.85714285714283,Republican,2990671,0,Arkansas,South,11.2,22.0686,167.1388,4.None
AZ,2020-03-15,7,11,92,211,1,NA,Republican,6946685,45,Arizona,West,43.6,0.144,NA,2.Medium
AZ,2020-03-22,7,12,769,7984,14,NA,Republican,6946685,45,Arizona,West,9.6,2.0153,NA,2.Medium
AZ,2020-03-29,7,13,1146,18832,37,NA,Republican,6946685,45,Arizona,West,6.1,5.3263,NA,2.Medium
AZ,2020-04-05,7,14,1374,13370,56,NA,Republican,6946685,45,Arizona,West,10.3,8.0614,NA,2.Medium
AZ,2020-04-12,7,15,1326,10515,69,567.5,Republican,6946685,45,Arizona,West,12.6,9.9328,81.6936,2.Medium
AZ,2020-04-19,7,16,1561,11463,89,657.7142857142857,Republican,6946685,45,Arizona,West,13.6,12.8119,94.6803,2.Medium
AZ,2020-04-26,7,17,2084,15489,82,713.2857142857143,Republican,6946685,45,Arizona,West,13.5,11.8042,102.68,2.Medium
AZ,2020-05-03,7,18,2596,27813,184,736,Republican,6946685,45,Arizona,West,9.3,26.4875,105.9498,2.Medium
AZ,2020-05-10,7,19,2671,40978,147,761.4285714285714,Republican,6946685,45,Arizona,West,6.5,21.1612,109.6103,2.Medium
AZ,2020-05-17,7,20,2408,33651,120,801.4285714285714,Republican,6946685,45,Arizona,West,7.2,17.2744,115.3685,2.Medium
AZ,2020-05-24,7,21,3216,36608,104,888.1428571428571,Republican,6946685,45,Arizona,West,8.8,14.9712,127.8513,2.Medium
AZ,2020-05-31,7,22,6196,54599,139,1090.4285714285713,Republican,6946685,45,Arizona,West,11.3,20.0095,156.9711,2.Medium
AZ,2020-06-07,7,23,9007,56751,141,1296.2857142857142,Republican,6946685,45,Arizona,West,15.9,20.2975,186.6049,2.Medium
AZ,2020-06-14,7,24,15340,76883,155,1633,Republican,6946685,45,Arizona,West,20,22.3128,235.0762,2.Medium
AZ,2020-06-21,7,25,20253,89467,241,2211.4285714285716,Republican,6946685,45,Arizona,West,22.6,34.6928,318.343,2.Medium
AZ,2020-06-28,7,26,24502,94761,226,2877.8571428571427,Republican,6946685,45,Arizona,West,25.9,32.5335,414.2778,2.Medium
AZ,2020-07-05,7,27,25377,94482,346,3360.714285714286,Republican,6946685,45,Arizona,West,26.9,49.8079,483.7868,2.Medium
AZ,2020-07-12,7,28,21335,88001,579,3424.714285714286,Republican,6946685,45,Arizona,West,24.2,83.3491,492.9998,2.Medium
AZ,2020-07-19,7,29,18776,85618,556,2989,Republican,6946685,45,Arizona,West,21.9,80.0382,430.2772,2.Medium
AZ,2020-07-26,7,30,16961,91041,461,2448.5714285714284,Republican,6946685,45,Arizona,West,18.6,66.3626,352.4806,2.Medium
CA,2020-03-15,7,11,1027,11360,19,NA,Democratic,39148760,89,California,West,9,0.4853,NA,1.Long
CA,2020-03-22,7,12,3364,12664,77,890,Democratic,39148760,89,California,West,26.6,1.9669,22.7338,1.Long
CA,2020-03-29,7,13,7383,88508,175,1764,Democratic,39148760,89,California,West,8.3,4.4701,45.0589,1.Long
CA,2020-04-05,7,14,8589,59519,333,3027.1428571428573,Democratic,39148760,89,California,West,14.4,8.506,77.3241,1.Long
CA,2020-04-12,7,15,8348,86447,463,4776.285714285715,Democratic,39148760,89,California,West,9.7,11.8267,122.0035,1.Long
CA,2020-04-19,7,16,12174,246369,579,4847.285714285715,Democratic,39148760,89,California,West,4.9,14.7897,123.8171,1.Long
CA,2020-04-26,7,17,11060,180768,520,4887,Democratic,39148760,89,California,West,6.1,13.2827,124.8315,1.Long
CA,2020-05-03,7,18,12364,225767,507,4609.285714285715,Democratic,39148760,89,California,West,5.5,12.9506,117.7377,1.Long
CA,2020-05-10,7,19,12232,266556,526,4541.571428571428,Democratic,39148760,89,California,West,4.6,13.4359,116.0081,1.Long
CA,2020-05-17,7,20,13838,336180,504,4509.285714285715,Democratic,39148760,89,California,West,4.1,12.874,115.1834,1.Long
CA,2020-05-24,7,21,16247,373289,448,4387.428571428572,Democratic,39148760,89,California,West,4.4,11.4435,112.0707,1.Long
CA,2020-05-31,7,22,19138,419705,403,4435.142857142857,Democratic,39148760,89,California,West,4.6,10.2941,113.2895,1.Long
CA,2020-06-07,7,23,19627,416093,430,4536.857142857143,Democratic,39148760,89,California,West,4.7,10.9837,115.8876,1.Long
CA,2020-06-14,7,24,23666,510019,435,4472.428571428572,Democratic,39148760,89,California,West,4.6,11.1115,114.2419,1.Long
CA,2020-06-21,7,25,37124,627898,448,5271.142857142857,Democratic,39148760,89,California,West,5.9,11.4435,134.6439,1.Long
CA,2020-06-28,7,26,50955,690721,441,6591.571428571428,Democratic,39148760,89,California,West,7.4,11.2647,168.3724,1.Long
CA,2020-07-05,7,27,54956,722664,632,7607.428571428572,Democratic,39148760,89,California,West,7.6,16.1436,194.3211,1.Long
CA,2020-07-12,7,28,63019,891523,650,8223.142857142857,Democratic,39148760,89,California,West,7.1,16.6033,210.0486,1.Long
CA,2020-07-19,7,29,70037,880137,742,8682.57142857143,Democratic,39148760,89,California,West,8,18.9533,221.7841,1.Long
CA,2020-07-26,7,30,54730,839232,887,8335.285714285714,Democratic,39148760,89,California,West,6.5,22.6572,212.9131,1.Long
CO,2020-03-15,7,11,262,2969,3,NA,Democratic,5531141,31,Colorado,West,8.8,0.5424,NA,2.Medium
CO,2020-03-22,7,12,1371,7996,27,173.28571428571428,Democratic,5531141,31,Colorado,West,17.1,4.8815,31.3291,2.Medium
CO,2020-03-29,7,13,2439,10395,80,568.7142857142857,Democratic,5531141,31,Colorado,West,23.5,14.4636,102.8204,2.Medium
CO,2020-04-05,7,14,2337,10582,139,817,Democratic,5531141,31,Colorado,West,22.1,25.1304,147.7091,2.Medium
CO,2020-04-12,7,15,2537,10654,141,855.7142857142857,Democratic,5531141,31,Colorado,West,23.8,25.492,154.7085,2.Medium
CO,2020-04-19,7,16,3209,13482,283,926.7142857142857,Democratic,5531141,31,Colorado,West,23.8,51.1649,167.5449,2.Medium
CO,2020-04-26,7,17,3512,20160,146,981,Democratic,5531141,31,Colorado,West,17.4,26.396,177.3594,2.Medium
CO,2020-05-03,7,18,3059,19823,140,828.7142857142857,Democratic,5531141,31,Colorado,West,15.4,25.3112,149.827,2.Medium
CO,2020-05-10,7,19,2405,25068,-82,690,Democratic,5531141,31,Colorado,West,9.6,-14.8252,124.7482,2.Medium
CO,2020-05-17,7,20,2255,23112,210,622.2857142857143,Democratic,5531141,31,Colorado,West,9.8,37.9668,112.5058,2.Medium
CO,2020-05-24,7,21,2126,30789,93,491.14285714285717,Democratic,5531141,31,Colorado,West,6.9,16.8139,88.7959,2.Medium
CO,2020-05-31,7,22,2002,32536,93,369.14285714285717,Democratic,5531141,31,Colorado,West,6.2,16.8139,66.739,2.Medium
CO,2020-06-07,7,23,1207,28184,74,294.2857142857143,Democratic,5531141,31,Colorado,West,4.3,13.3788,53.2052,2.Medium
CO,2020-06-14,7,24,1365,36608,81,270.57142857142856,Democratic,5531141,31,Colorado,West,3.7,14.6444,48.9178,2.Medium
CO,2020-06-21,7,25,1609,34514,53,245.42857142857142,Democratic,5531141,31,Colorado,West,4.7,9.5821,44.3721,2.Medium
CO,2020-06-28,7,26,1823,38171,39,254.14285714285714,Democratic,5531141,31,Colorado,West,4.8,7.051,45.9476,2.Medium
CO,2020-07-05,7,27,2572,40107,65,316,Democratic,5531141,31,Colorado,West,6.4,11.7516,57.131100000000004,2.Medium
CO,2020-07-12,7,28,3153,44922,29,369.85714285714283,Democratic,5531141,31,Colorado,West,7,5.243,66.8681,2.Medium
CO,2020-07-19,7,29,3636,48961,46,374.42857142857144,Democratic,5531141,31,Colorado,West,7.4,8.3165,67.6946,2.Medium
CO,2020-07-26,7,30,3829,53659,30,350.85714285714283,Democratic,5531141,31,Colorado,West,7.1,5.4238,63.433,2.Medium
CT,2020-03-15,7,11,183,2164,4,NA,Democratic,3581504,58,Connecticut,Northeast,8.5,1.1168,NA,2.Medium
CT,2020-03-22,7,12,1097,6100,23,107.42857142857143,Democratic,3581504,58,Connecticut,Northeast,18,6.4219,29.9954,2.Medium
CT,2020-03-29,7,13,3985,13629,138,723.4285714285714,Democratic,3581504,58,Connecticut,Northeast,29.2,38.5313,201.9902,2.Medium
CT,2020-04-05,7,14,6234,17802,329,1371.142857142857,Democratic,3581504,58,Connecticut,Northeast,35,91.8608,382.84,2.Medium
CT,2020-04-12,7,15,5299,15631,542,1845.5714285714287,Democratic,3581504,58,Connecticut,Northeast,33.9,151.3331,515.3063,2.Medium
CT,2020-04-19,7,16,7773,22140,826,1916,Democratic,3581504,58,Connecticut,Northeast,35.1,230.6294,534.9708,2.Medium
CT,2020-04-26,7,17,4182,22655,477,1683,Democratic,3581504,58,Connecticut,Northeast,18.5,133.1843,469.9143,2.Medium
CT,2020-05-03,7,18,4220,23312,593,1428.142857142857,Democratic,3581504,58,Connecticut,Northeast,18.1,165.5729,398.7551,2.Medium
CT,2020-05-10,7,19,3719,41186,407,1133,Democratic,3581504,58,Connecticut,Northeast,9,113.6394,316.3475,2.Medium
CT,2020-05-17,7,20,3319,43612,336,848.2857142857143,Democratic,3581504,58,Connecticut,Northeast,7.6,93.8153,236.8518,2.Medium
CT,2020-05-24,7,21,2000,38568,237,649,Democratic,3581504,58,Connecticut,Northeast,5.2,66.1733,181.2088,2.Medium
CT,2020-05-31,7,22,1796,56494,143,404.42857142857144,Democratic,3581504,58,Connecticut,Northeast,3.2,39.9274,112.9214,2.Medium
CT,2020-06-07,7,23,1176,46738,131,277.57142857142856,Democratic,3581504,58,Connecticut,Northeast,2.5,36.5768,77.5014,2.Medium
CT,2020-06-14,7,24,721,45720,65,184.71428571428572,Democratic,3581504,58,Connecticut,Northeast,1.6,18.1488,51.5745,2.Medium
CT,2020-06-21,7,25,491,43143,60,129.42857142857142,Democratic,3581504,58,Connecticut,Northeast,1.1,16.7527,36.1381,2.Medium
CT,2020-06-28,7,26,511,60996,24,98.71428571428571,Democratic,3581504,58,Connecticut,Northeast,0.8,6.7011,27.5622,2.Medium
CT,2020-07-05,7,27,570,58362,13,82.71428571428571,Democratic,3581504,58,Connecticut,Northeast,1,3.6298,23.0948,2.Medium
CT,2020-07-12,7,28,606,71581,48,68.85714285714286,Democratic,3581504,58,Connecticut,Northeast,0.8,13.4022,19.2258,2.Medium
CT,2020-07-19,7,29,883,83103,17,65.57142857142857,Democratic,3581504,58,Connecticut,Northeast,1.1,4.7466,18.3083,2.Medium
CT,2020-07-26,7,30,1034,80924,19,63,Democratic,3581504,58,Connecticut,Northeast,1.3,5.305,17.5904,2.Medium
DE,2020-03-15,7,11,39,39,0,NA,Democratic,949495,68,Delaware,South,100,0,NA,1.Long
DE,2020-03-22,7,12,169,169,9,17.5,Democratic,949495,68,Delaware,South,100,9.4787,18.4309,1.Long
DE,2020-03-29,7,13,379,6217,8,57.142857142857146,Democratic,949495,68,Delaware,South,6.1,8.4255,60.1824,1.Long
DE,2020-04-05,7,14,886,4636,26,152.57142857142858,Democratic,949495,68,Delaware,South,19.1,27.383,160.6869,1.Long
DE,2020-04-12,7,15,844,2914,43,208.57142857142858,Democratic,949495,68,Delaware,South,29,45.2872,219.6656,1.Long
DE,2020-04-19,7,16,1253,3681,69,272,Democratic,949495,68,Delaware,South,34,72.6702,286.4681,1.Long
DE,2020-04-26,7,17,1462,5414,80,311.7142857142857,Democratic,949495,68,Delaware,South,27,84.2553,328.2948,1.Long
DE,2020-05-03,7,18,1239,6184,66,287.14285714285717,Democratic,949495,68,Delaware,South,20,69.5106,302.4164,1.Long
DE,2020-05-10,7,19,1270,10462,82,272.85714285714283,Democratic,949495,68,Delaware,South,12.1,86.3617,287.3708,1.Long
DE,2020-05-17,7,20,1143,10776,42,225.14285714285714,Democratic,949495,68,Delaware,South,10.6,44.234,237.1185,1.Long
DE,2020-05-24,7,21,732,8795,41,194.57142857142858,Democratic,949495,68,Delaware,South,8.3,43.1808,204.921,1.Long
DE,2020-05-31,7,22,423,8306,19,145.14285714285714,Democratic,949495,68,Delaware,South,5.1,20.0106,152.8632,1.Long
DE,2020-06-07,7,23,384,12464,10,104.85714285714286,Democratic,949495,68,Delaware,South,3.1,10.5319,110.4346,1.Long
DE,2020-06-14,7,24,452,12317,9,82.85714285714286,Democratic,949495,68,Delaware,South,3.7,9.4787,87.2644,1.Long
DE,2020-06-21,7,25,410,11846,3,85.42857142857143,Democratic,949495,68,Delaware,South,3.5,3.1596,89.9726,1.Long
DE,2020-06-28,7,26,905,16431,5,65.71428571428571,Democratic,949495,68,Delaware,South,5.5,5.266,69.2097,1.Long
DE,2020-07-05,7,27,747,13422,5,58,Democratic,949495,68,Delaware,South,5.6,5.266,61.0851,1.Long
DE,2020-07-12,7,28,686,16642,6,51.714285714285715,Democratic,949495,68,Delaware,South,4.1,6.3191,54.465,1.Long
